sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"SPEN","Approved symbol","SPEN","spen family transcriptional repressor","HGNC:17575","1p36.21-p36.13"
"AHNAK","Approved symbol","AHNAK","AHNAK nucleoprotein","HGNC:347","11q12.3"
"FAT3","Approved symbol","FAT3","FAT atypical cadherin 3","HGNC:23112","11q14.3"
"LAMA3","Approved symbol","LAMA3","laminin subunit alpha 3","HGNC:6483","18q11.2"
"LAMA3","Synonyms","LAMA4","laminin subunit alpha 4","HGNC:6484","6q21"
"PARK2","Previous symbol","PRKN","parkin RBR E3 ubiquitin protein ligase","HGNC:8607","6q26"
"PLEC","Approved symbol","PLEC","plectin","HGNC:9069","8q24.3"
"TG","Approved symbol","TG","thyroglobulin","HGNC:11764","8q24.22"
"TP53","Approved symbol","TP53","tumor protein p53","HGNC:11998","17p13.1"
"UNC5D","Approved symbol","UNC5D","unc-5 netrin receptor D","HGNC:18634","8p12"
"AIM1","Previous symbol","CRYBG1","crystallin beta-gamma domain containing 1","HGNC:356","6q21"
"ATP1A4","Approved symbol","ATP1A4","ATPase Na+/K+ transporting subunit alpha 4","HGNC:14073","1q23.2"
"KCNH7","Approved symbol","KCNH7","potassium voltage-gated channel subfamily H member 7","HGNC:18863","2q24.2"
"PCSK5","Approved symbol","PCSK5","proprotein convertase subtilisin/kexin type 5","HGNC:8747","9q21.13"
"TENM4","Approved symbol","TENM4","teneurin transmembrane protein 4","HGNC:29945","11q14.1"
"SCN8A","Approved symbol","SCN8A","sodium voltage-gated channel alpha subunit 8","HGNC:10596","12q13.13"
"ADAMTS17","Approved symbol","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17","HGNC:17109","15q26.3"
"ANK1","Approved symbol","ANK1","ankyrin 1","HGNC:492","8p11.21"
"ASXL3","Approved symbol","ASXL3","ASXL transcriptional regulator 3","HGNC:29357","18q12.1"
"BRIP1","Approved symbol","BRIP1","BRCA1 interacting protein C-terminal helicase 1","HGNC:20473","17q23.2"
"BRIP1","Synonyms","MRPL36","mitochondrial ribosomal protein L36","HGNC:14490","5p15.33"
"SMG8","Approved symbol","SMG8","SMG8, nonsense mediated mRNA decay factor","HGNC:25551","17q23.2"
"CACNA1F","Approved symbol","CACNA1F","calcium voltage-gated channel subunit alpha1 F","HGNC:1393","Xp11.23"
"CHD6","Approved symbol","CHD6","chromodomain helicase DNA binding protein 6","HGNC:19057","20q12"
"DGKI","Approved symbol","DGKI","diacylglycerol kinase iota","HGNC:2855","7q33"
"DNAH5","Approved symbol","DNAH5","dynein axonemal heavy chain 5","HGNC:2950","5p15.2"
"DNAH9","Approved symbol","DNAH9","dynein axonemal heavy chain 9","HGNC:2953","17p12"
"DYSF","Approved symbol","DYSF","dysferlin","HGNC:3097","2p13.2"
"TBL1XR1","Approved symbol","TBL1XR1","transducin beta like 1 X-linked receptor 1","HGNC:29529","3q26.32"
"FRY","Approved symbol","FRY","FRY microtubule binding protein","HGNC:20367","13q13.1"
"GRIA1","Approved symbol","GRIA1","glutamate ionotropic receptor AMPA type subunit 1","HGNC:4571","5q33.2"
"GRM3","Approved symbol","GRM3","glutamate metabotropic receptor 3","HGNC:4595","7q21.11-q21.12"
"C1orf222","Previous symbol","CFAP74","cilia and flagella associated protein 74","HGNC:29368","1p36.33"
"MACF1","Approved symbol","MACF1","microtubule-actin crosslinking factor 1","HGNC:13664","1p34.3"
"MUC17","Approved symbol","MUC17","mucin 17, cell surface associated","HGNC:16800","7q22.1"
"MUC5B","Approved symbol","MUC5B","mucin 5B, oligomeric mucus/gel-forming","HGNC:7516","11p15.5"
"MYCBP2","Approved symbol","MYCBP2","MYC binding protein 2, E3 ubiquitin protein ligase","HGNC:23386","13q22.3"
"MYH4","Approved symbol","MYH4","myosin heavy chain 4","HGNC:7574","17p13.1"
"MYH7","Approved symbol","MYH7","myosin heavy chain 7","HGNC:7577","14q11.2"
"MYO18B","Approved symbol","MYO18B","myosin XVIIIB","HGNC:18150","22q12.1"
"NAV3","Approved symbol","NAV3","neuron navigator 3","HGNC:15998","12q21.2"
"NBEAL2","Approved symbol","NBEAL2","neurobeachin like 2","HGNC:31928","3p21.31"
"PCDH15","Approved symbol","PCDH15","protocadherin related 15","HGNC:14674","10q21.1"
"RTN4","Approved symbol","RTN4","reticulon 4","HGNC:14085","2p16.1"
"SCN7A","Approved symbol","SCN7A","sodium voltage-gated channel alpha subunit 7","HGNC:10594","2q24.3"
"SETDB1","Approved symbol","SETDB1","SET domain bifurcated 1","HGNC:10761","1q21.3"
"SRRM2","Approved symbol","SRRM2","serine/arginine repetitive matrix 2","HGNC:16639","16p13.3"
"SSPO","Approved symbol","SSPO","SCO-spondin","HGNC:21998","7q36.1"
"TTN","Approved symbol","TTN","titin","HGNC:12403","2q31.2"
"COL6A6","Approved symbol","COL6A6","collagen type VI alpha 6 chain","HGNC:27023","3q22.1"
"EML5","Approved symbol","EML5","EMAP like 5","HGNC:18197","14q31.3"
"LAMA1","Approved symbol","LAMA1","laminin subunit alpha 1","HGNC:6481","18p11.31"
"MAP3K1","Approved symbol","MAP3K1","mitogen-activated protein kinase kinase kinase 1","HGNC:6848","5q11.2"
"MUC16","Approved symbol","MUC16","mucin 16, cell surface associated","HGNC:15582","19p13.2"
"MYO5B","Approved symbol","MYO5B","myosin VB","HGNC:7603","18q"
"PCNT","Approved symbol","PCNT","pericentrin","HGNC:16068","21q22.3"
"PIK3CA","Approved symbol","PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","HGNC:8975","3q26.32"
"SCN2A","Approved symbol","SCN2A","sodium voltage-gated channel alpha subunit 2","HGNC:10588","2q24.3"
"AKAP4","Approved symbol","AKAP4","A-kinase anchoring protein 4","HGNC:374","Xp11.22"
"AKAP9","Approved symbol","AKAP9","A-kinase anchoring protein 9","HGNC:379","7q21.2"
"OTOGL","Approved symbol","OTOGL","otogelin like","HGNC:26901","12q21.31"
"DNAH6","Approved symbol","DNAH6","dynein axonemal heavy chain 6","HGNC:2951","2p11.2"
"ERBB3","Approved symbol","ERBB3","erb-b2 receptor tyrosine kinase 3","HGNC:3431","12q13.2"
"ERCC6","Approved symbol","ERCC6","ERCC excision repair 6, chromatin remodeling factor","HGNC:3438","10q11.23"
"LINC00869","Approved symbol","LINC00869","long intergenic non-protein coding RNA 869","HGNC:29050","1q21.2"
"RBM19","Approved symbol","RBM19","RNA binding motif protein 19","HGNC:29098","12q24.13-q24.21"
"SHROOM4","Approved symbol","SHROOM4","shroom family member 4","HGNC:29215","Xp11.22"
"SPTBN5","Approved symbol","SPTBN5","spectrin beta, non-erythrocytic 5","HGNC:15680","15q21"
"TEX15","Approved symbol","TEX15","testis expressed 15, meiosis and synapsis associated","HGNC:11738","8p12"
"VWF","Approved symbol","VWF","von Willebrand factor","HGNC:12726","12p13.31"
"HECW1","Approved symbol","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","HGNC:22195","7p14.1-p13"
"NF1","Approved symbol","NF1","neurofibromin 1","HGNC:7765","17q11.2"
"SVEP1","Approved symbol","SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","HGNC:15985","9q31.3"
"COL18A1","Approved symbol","COL18A1","collagen type XVIII alpha 1 chain","HGNC:2195","21q22.3"
"CSMD2","Approved symbol","CSMD2","CUB and Sushi multiple domains 2","HGNC:19290","1p35.1"
"snoU13","Unmatched","","","",""
"HECW2","Approved symbol","HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","HGNC:29853","2q32.3"
"CACNA1C","Approved symbol","CACNA1C","calcium voltage-gated channel subunit alpha1 C","HGNC:1390","12p13.33"
"NALCN","Approved symbol","NALCN","sodium leak channel, non-selective","HGNC:19082","13q32.3-q33.1"
"RAPGEF6","Approved symbol","RAPGEF6","Rap guanine nucleotide exchange factor 6","HGNC:20655","5q31.1"
"RTTN","Approved symbol","RTTN","rotatin","HGNC:18654","18q22.1"
"SCN11A","Approved symbol","SCN11A","sodium voltage-gated channel alpha subunit 11","HGNC:10583","3p22.2"
"ZFPM2","Approved symbol","ZFPM2","zinc finger protein, FOG family member 2","HGNC:16700","8q23"
"ZNF592","Approved symbol","ZNF592","zinc finger protein 592","HGNC:28986","15q25.2"
"BZRAP1","Previous symbol","TSPOAP1","TSPO associated protein 1","HGNC:16831","17q22"
"ZNF506","Approved symbol","ZNF506","zinc finger protein 506","HGNC:23780","19p13.11"
"FNBP4","Approved symbol","FNBP4","formin binding protein 4","HGNC:19752","11p11.2"
"KIAA1210","Approved symbol","KIAA1210","KIAA1210","HGNC:29218","Xq24"
"MTOR","Approved symbol","MTOR","mechanistic target of rapamycin kinase","HGNC:3942","1p36.22"
"MUC4","Approved symbol","MUC4","mucin 4, cell surface associated","HGNC:7514","3q29"
"MXRA5","Approved symbol","MXRA5","matrix remodeling associated 5","HGNC:7539","Xp22.33"
"CHD9","Approved symbol","CHD9","chromodomain helicase DNA binding protein 9","HGNC:25701","16q12.2"
"ATP10B","Approved symbol","ATP10B","ATPase phospholipid transporting 10B (putative)","HGNC:13543","5q34"
"CASC5","Previous symbol","KNL1","kinetochore scaffold 1","HGNC:24054","15q15.1"
"CHD4","Approved symbol","CHD4","chromodomain helicase DNA binding protein 4","HGNC:1919","12p13.31"
"CR1","Approved symbol","CR1","complement C3b/C4b receptor 1 (Knops blood group)","HGNC:2334","1q32.2"
"FREM1","Approved symbol","FREM1","FRAS1 related extracellular matrix 1","HGNC:23399","9p22.3"
"KIAA2022","Previous symbol","NEXMIF","neurite extension and migration factor","HGNC:29433","Xq13.3"
"MDN1","Approved symbol","MDN1","midasin AAA ATPase 1","HGNC:18302","6q15"
"PCDHB7","Approved symbol","PCDHB7","protocadherin beta 7","HGNC:8692","5q31.3"
"TAF1L","Approved symbol","TAF1L","TATA-box binding protein associated factor 1 like","HGNC:18056","9p21.1"
"TBCD","Approved symbol","TBCD","tubulin folding cofactor D","HGNC:11581","17q25.3"
"CA9","Approved symbol","CA9","carbonic anhydrase 9","HGNC:1383","9p13.3"
"DNAH17","Approved symbol","DNAH17","dynein axonemal heavy chain 17","HGNC:2946","17q25.3"
"DNAH3","Approved symbol","DNAH3","dynein axonemal heavy chain 3","HGNC:2949","16p12.3"
"RP11-32B5.7","Unmatched","","","",""
"MGAM","Approved symbol","MGAM","maltase-glucoamylase","HGNC:7043","7q34"
"NEB","Approved symbol","NEB","nebulin","HGNC:7720","2q23.3"
"RNF213","Approved symbol","RNF213","ring finger protein 213","HGNC:14539","17q25.3"
"UNC45A","Approved symbol","UNC45A","unc-45 myosin chaperone A","HGNC:30594","15q26.1"
"ZNF438","Approved symbol","ZNF438","zinc finger protein 438","HGNC:21029","10p11.23"
"ATN1","Approved symbol","ATN1","atrophin 1","HGNC:3033","12p13.31"
"PRKD2","Approved symbol","PRKD2","protein kinase D2","HGNC:17293","19q13.2"
"HIST1H1C","Approved symbol","HIST1H1C","histone cluster 1 H1 family member c","HGNC:4716","6p22.2"
"PPP1R9A","Approved symbol","PPP1R9A","protein phosphatase 1 regulatory subunit 9A","HGNC:14946","7q21.3"
"SPTA1","Approved symbol","SPTA1","spectrin alpha, erythrocytic 1","HGNC:11272","1q23.1"
"RP11-1055B8.7","Unmatched","","","",""
"STAG1","Approved symbol","STAG1","stromal antigen 1","HGNC:11354","3q22.3"
"STAG1","Synonyms","PMEPA1","prostate transmembrane protein, androgen induced 1","HGNC:14107","20q13.31"
"NID1","Approved symbol","NID1","nidogen 1","HGNC:7821","1q42.3"
"OTOF","Approved symbol","OTOF","otoferlin","HGNC:8515","2p23.3"
"CAPN1","Approved symbol","CAPN1","calpain 1","HGNC:1476","11q13.1"
"AFF2","Approved symbol","AFF2","AF4/FMR2 family member 2","HGNC:3776","Xq28"
"ERCC6L2","Approved symbol","ERCC6L2","ERCC excision repair 6 like 2","HGNC:26922","9q22.32"
"CTCF","Approved symbol","CTCF","CCCTC-binding factor","HGNC:13723","16q22.1"
"PIK3R1","Approved symbol","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","HGNC:8979","5q13.1"
"TRIP11","Approved symbol","TRIP11","thyroid hormone receptor interactor 11","HGNC:12305","14q32.12"
"FAM90A1","Approved symbol","FAM90A1","family with sequence similarity 90 member A1","HGNC:25526","12p13.31"
"GPR98","Previous symbol","ADGRV1","adhesion G protein-coupled receptor V1","HGNC:17416","5q14.3"
"KMT2C","Approved symbol","KMT2C","lysine methyltransferase 2C","HGNC:13726","7q36.1"
"PKHD1","Approved symbol","PKHD1","PKHD1, fibrocystin/polyductin","HGNC:9016","6p12.3-p12.2"
"ASPM","Approved symbol","ASPM","abnormal spindle microtubule assembly","HGNC:19048","1q31.3"
"RP5-1182A14.5","Unmatched","","","",""
"FLNB","Approved symbol","FLNB","filamin B","HGNC:3755","3p14.3"
"KMT2D","Approved symbol","KMT2D","lysine methyltransferase 2D","HGNC:7133","12q13.12"
"MYH10","Approved symbol","MYH10","myosin heavy chain 10","HGNC:7568","17p13.1"
"MYH6","Approved symbol","MYH6","myosin heavy chain 6","HGNC:7576","14q11.2"
"PKHD1L1","Approved symbol","PKHD1L1","PKHD1 like 1","HGNC:20313","8q23.1-q23.2"
"SETX","Approved symbol","SETX","senataxin","HGNC:445","9q34.13"
"SYCP2","Approved symbol","SYCP2","synaptonemal complex protein 2","HGNC:11490","20q13.33"
"TCHH","Approved symbol","TCHH","trichohyalin","HGNC:11791","1q21.3"
"ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"DGKG","Approved symbol","DGKG","diacylglycerol kinase gamma","HGNC:2853","3q27.2-q27.3"
"MST1L","Approved symbol","MST1L","macrophage stimulating 1 like","HGNC:7390","1p36.13"
"SRCAP","Approved symbol","SRCAP","Snf2 related CREBBP activator protein","HGNC:16974","16p11.2"
"CMYA5","Approved symbol","CMYA5","cardiomyopathy associated 5","HGNC:14305","5q14.1"
"GATA3","Approved symbol","GATA3","GATA binding protein 3","HGNC:4172","10p14"
"VWA3A","Approved symbol","VWA3A","von Willebrand factor A domain containing 3A","HGNC:27088","16p12.2"
"BRWD1","Approved symbol","BRWD1","bromodomain and WD repeat domain containing 1","HGNC:12760","21q22.2"
"UBA6","Approved symbol","UBA6","ubiquitin like modifier activating enzyme 6","HGNC:25581","4q13.2"
"ZFP36L1","Approved symbol","ZFP36L1","ZFP36 ring finger protein like 1","HGNC:1107","14q24.1"
"HSPG2","Approved symbol","HSPG2","heparan sulfate proteoglycan 2","HGNC:5273","1p36.12"
"WWP2","Approved symbol","WWP2","WW domain containing E3 ubiquitin protein ligase 2","HGNC:16804","16q22.1"
"AHNAK2","Approved symbol","AHNAK2","AHNAK nucleoprotein 2","HGNC:20125","14q32.33"
"ANKRD30B","Approved symbol","ANKRD30B","ankyrin repeat domain 30B","HGNC:24165","18p11.21"
"DLG1","Approved symbol","DLG1","discs large MAGUK scaffold protein 1","HGNC:2900","3q29"
"DLG1","Synonyms","DLGAP5","DLG associated protein 5","HGNC:16864","14q22.3"
"DST","Approved symbol","DST","dystonin","HGNC:1090","6p12.1"
"PTPRB","Approved symbol","PTPRB","protein tyrosine phosphatase, receptor type B","HGNC:9665","12q15"
"HEG1","Approved symbol","HEG1","heart development protein with EGF like domains 1","HGNC:29227","3q21.2"
"KDM5C","Approved symbol","KDM5C","lysine demethylase 5C","HGNC:11114","Xp11.22"
"MED12","Approved symbol","MED12","mediator complex subunit 12","HGNC:11957","Xq13.1"
"MYH7B","Approved symbol","MYH7B","myosin heavy chain 7B","HGNC:15906","20q11.22"
"SAMD9","Approved symbol","SAMD9","sterile alpha motif domain containing 9","HGNC:1348","7q21.2"
"ZFHX3","Approved symbol","ZFHX3","zinc finger homeobox 3","HGNC:777","16q22.2-q22.3"
"BIRC6","Approved symbol","BIRC6","baculoviral IAP repeat containing 6","HGNC:13516","2p22.3"
"C10orf12","Previous symbol","LCOR","ligand dependent nuclear receptor corepressor","HGNC:29503","10q24.1"
"ADAD2","Approved symbol","ADAD2","adenosine deaminase domain containing 2","HGNC:30714","16q24.1"
"FAT1","Approved symbol","FAT1","FAT atypical cadherin 1","HGNC:3595","4q35.2"
"TPR","Approved symbol","TPR","translocated promoter region, nuclear basket protein","HGNC:12017","1q31.1"
"DCAF4L2","Approved symbol","DCAF4L2","DDB1 and CUL4 associated factor 4 like 2","HGNC:26657","8q21.3"
"MYT1L","Approved symbol","MYT1L","myelin transcription factor 1 like","HGNC:7623","2p25.3"
"PLCL2","Approved symbol","PLCL2","phospholipase C like 2","HGNC:9064","3p24.3"
"UBC","Approved symbol","UBC","ubiquitin C","HGNC:12468","12q24.3"
"FRAS1","Approved symbol","FRAS1","Fraser extracellular matrix complex subunit 1","HGNC:19185","4q21.21"
"RELN","Approved symbol","RELN","reelin","HGNC:9957","7q22.1"
"RPGR","Approved symbol","RPGR","retinitis pigmentosa GTPase regulator","HGNC:10295","Xp11.4"
"SCN3A","Approved symbol","SCN3A","sodium voltage-gated channel alpha subunit 3","HGNC:10590","2q24.3"
"DDX12P","Approved symbol","DDX12P","DEAD/H-box helicase 12, pseudogene","HGNC:2737","12p13.31"
"MYH14","Approved symbol","MYH14","myosin heavy chain 14","HGNC:23212","19q13.33"
"MYH14","Synonyms","MYH7B","myosin heavy chain 7B","HGNC:15906","20q11.22"
"NOTCH2","Approved symbol","NOTCH2","notch 2","HGNC:7882","1p12"
"NBEAL1","Approved symbol","NBEAL1","neurobeachin like 1","HGNC:20681","2q33.2"
"TEP1","Approved symbol","TEP1","telomerase associated protein 1","HGNC:11726","14q11.2"
"TEP1","Synonyms","PTEN","phosphatase and tensin homolog","HGNC:9588","10q23.31"
"EPS8L1","Approved symbol","EPS8L1","EPS8 like 1","HGNC:21295","19q13.42"
"MUC2","Approved symbol","MUC2","mucin 2, oligomeric mucus/gel-forming","HGNC:7512","11p15.5"
"MYO7A","Approved symbol","MYO7A","myosin VIIA","HGNC:7606","11q13.5"
"PLCB4","Approved symbol","PLCB4","phospholipase C beta 4","HGNC:9059","20p12.3-p12.2"
"XIRP2","Approved symbol","XIRP2","xin actin binding repeat containing 2","HGNC:14303","2q24.3"
"NLRC4","Approved symbol","NLRC4","NLR family CARD domain containing 4","HGNC:16412","2p22.3"
"CBFB","Approved symbol","CBFB","core-binding factor subunit beta","HGNC:1539","16q22.1"
"GPS2","Approved symbol","GPS2","G protein pathway suppressor 2","HGNC:4550","17p13.1"
"KIAA0825","Approved symbol","KIAA0825","KIAA0825","HGNC:28532","5q15"
"EYS","Approved symbol","EYS","eyes shut homolog","HGNC:21555","6q12"
"ITPKB","Approved symbol","ITPKB","inositol-trisphosphate 3-kinase B","HGNC:6179","1q42.12"
"LAMA5","Approved symbol","LAMA5","laminin subunit alpha 5","HGNC:6485","20q13.33"
"PKD1L1","Approved symbol","PKD1L1","polycystin 1 like 1, transient receptor potential channel interacting","HGNC:18053","7p12.3"
"RYR3","Approved symbol","RYR3","ryanodine receptor 3","HGNC:10485","15q13.3-q14"
"SMARCA4","Approved symbol","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","HGNC:11100","19p13.2"
"CADPS","Approved symbol","CADPS","calcium dependent secretion activator","HGNC:1426","3p14.2"
"HUWE1","Approved symbol","HUWE1","HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase","HGNC:30892","Xp11.22"
"APOB","Approved symbol","APOB","apolipoprotein B","HGNC:603","2p24.1"
"MYB","Approved symbol","MYB","MYB proto-oncogene, transcription factor","HGNC:7545","6q23.3"
"TLN1","Approved symbol","TLN1","talin 1","HGNC:11845","9p13.3"
"CSMD3","Approved symbol","CSMD3","CUB and Sushi multiple domains 3","HGNC:19291","8q23.3"
"FOXA1","Approved symbol","FOXA1","forkhead box A1","HGNC:5021","14q21.1"
"MYO10","Approved symbol","MYO10","myosin X","HGNC:7593","5p15.1"
"PRKG2","Approved symbol","PRKG2","protein kinase cGMP-dependent 2","HGNC:9416","4q21.21"
"VPS13C","Approved symbol","VPS13C","vacuolar protein sorting 13 homolog C","HGNC:23594","15q22.2"
"FCGBP","Approved symbol","FCGBP","Fc fragment of IgG binding protein","HGNC:13572","19q13.2"
"LRPPRC","Approved symbol","LRPPRC","leucine rich pentatricopeptide repeat containing","HGNC:15714","2p21"
"NCOR1","Approved symbol","NCOR1","nuclear receptor corepressor 1","HGNC:7672","17p12-p11.2"
"PCDHGB3","Approved symbol","PCDHGB3","protocadherin gamma subfamily B, 3","HGNC:8710","5q31"
"SF3B1","Approved symbol","SF3B1","splicing factor 3b subunit 1","HGNC:10768","2q33.1"
"SF3B1","Synonyms","SF3B2","splicing factor 3b subunit 2","HGNC:10769","11q13.1"
"CACNA1E","Approved symbol","CACNA1E","calcium voltage-gated channel subunit alpha1 E","HGNC:1392","1q25.3"
"CIT","Approved symbol","CIT","citron rho-interacting serine/threonine kinase","HGNC:1985","12q24.23"
"NBPF1","Approved symbol","NBPF1","NBPF member 1","HGNC:26088","1p36.13"
"ESPL1","Approved symbol","ESPL1","extra spindle pole bodies like 1, separase","HGNC:16856","12q13.13"
"WHSC1","Previous symbol","NSD2","nuclear receptor binding SET domain protein 2","HGNC:12766","4p16.3"
"MLLT4","Previous symbol","AFDN","afadin, adherens junction formation factor","HGNC:7137","6q27"
"CDC42BPA","Approved symbol","CDC42BPA","CDC42 binding protein kinase alpha","HGNC:1737","1q42.13"
"CEP170","Approved symbol","CEP170","centrosomal protein 170","HGNC:28920","1q43"
"GRIN2B","Approved symbol","GRIN2B","glutamate ionotropic receptor NMDA type subunit 2B","HGNC:4586","12p13.1"
"IARS","Approved symbol","IARS","isoleucyl-tRNA synthetase","HGNC:5330","9q22.31"
"KIF4A","Approved symbol","KIF4A","kinesin family member 4A","HGNC:13339","Xq13.1"
"CCDC168","Approved symbol","CCDC168","coiled-coil domain containing 168","HGNC:26851","13q33.1"
"KMT2A","Approved symbol","KMT2A","lysine methyltransferase 2A","HGNC:7132","11q23.3"
"MYO9A","Approved symbol","MYO9A","myosin IXA","HGNC:7608","15q23"
"N4BP2","Approved symbol","N4BP2","NEDD4 binding protein 2","HGNC:29851","4p14"
"PCNXL2","Previous symbol","PCNX2","pecanex 2","HGNC:8736","1q42.2"
"PDCD11","Approved symbol","PDCD11","programmed cell death 11","HGNC:13408","10q24.33"
"PRKDC","Approved symbol","PRKDC","protein kinase, DNA-activated, catalytic subunit","HGNC:9413","8q11.21"
"QSER1","Approved symbol","QSER1","glutamine and serine rich 1","HGNC:26154","11p13"
"RGAG1","Previous symbol","RTL9","retrotransposon Gag like 9","HGNC:29245","Xq23"
"SI","Approved symbol","SI","sucrase-isomaltase","HGNC:10856","3q26.1"
"SI","Synonyms","PMEL","premelanosome protein","HGNC:10880","12q13.2"
"SYNE1","Approved symbol","SYNE1","spectrin repeat containing nuclear envelope protein 1","HGNC:17089","6q25.2"
"TRERF1","Approved symbol","TRERF1","transcriptional regulating factor 1","HGNC:18273","6p21.1"
"ZDBF2","Approved symbol","ZDBF2","zinc finger DBF-type containing 2","HGNC:29313","2q33.3"
"DSPP","Approved symbol","DSPP","dentin sialophosphoprotein","HGNC:3054","4q22.1"
"BRCA2","Approved symbol","BRCA2","BRCA2, DNA repair associated","HGNC:1101","13q13.1"
"CACNA1A","Approved symbol","CACNA1A","calcium voltage-gated channel subunit alpha1 A","HGNC:1388","19p13.13"
"HAUS5","Approved symbol","HAUS5","HAUS augmin like complex subunit 5","HGNC:29130","19q13.12"
"CFTR","Approved symbol","CFTR","cystic fibrosis transmembrane conductance regulator","HGNC:1884","7q31.2"
"DYNC2H1","Approved symbol","DYNC2H1","dynein cytoplasmic 2 heavy chain 1","HGNC:2962","11q22.3"
