Input	Match type	Approved symbol	Approved name	HGNC ID	Location
RRP9	Approved symbol	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	HGNC:16829	3p21.2
CPOX	Approved symbol	CPOX	coproporphyrinogen oxidase	HGNC:2321	3q11.2
MYLK	Approved symbol	MYLK	myosin light chain kinase	HGNC:7590	3q21.1
AMOTL2	Approved symbol	AMOTL2	angiomotin like 2	HGNC:17812	3q22.2
TBL1XR1	Approved symbol	TBL1XR1	transducin beta like 1 X-linked receptor 1	HGNC:29529	3q26.32
SORCS2	Approved symbol	SORCS2	sortilin related VPS10 domain containing receptor 2	HGNC:16698	4p16.1
KIAA1109	Approved symbol	KIAA1109	KIAA1109	HGNC:26953	4q27
PAPD7	Previous symbol	TENT4A	terminal nucleotidyltransferase 4A	HGNC:16705	5p15.31
TRIO	Approved symbol	TRIO	trio Rho guanine nucleotide exchange factor	HGNC:12303	5p15.2
MROH2B	Approved symbol	MROH2B	maestro heat like repeat family member 2B	HGNC:26857	5p13.1
RAD50	Approved symbol	RAD50	RAD50 double strand break repair protein	HGNC:9816	5q31.1
TCOF1	Approved symbol	TCOF1	treacle ribosome biogenesis factor 1	HGNC:11654	5q32-q33.1
COL9A1	Approved symbol	COL9A1	collagen type IX alpha 1 chain	HGNC:2217	6q13
HACE1	Approved symbol	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	HGNC:21033	6q16.3
LATS1	Approved symbol	LATS1	large tumor suppressor kinase 1	HGNC:6514	6q25.1
KLHL7	Approved symbol	KLHL7	kelch like family member 7	HGNC:15646	7p15.3
TNS3	Approved symbol	TNS3	tensin 3	HGNC:21616	7p12.3
PCLO	Approved symbol	PCLO	piccolo presynaptic cytomatrix protein	HGNC:13406	7q21.11
ABCB8	Approved symbol	ABCB8	ATP binding cassette subfamily B member 8	HGNC:49	7q36.1
DOCK5	Approved symbol	DOCK5	dedicator of cytokinesis 5	HGNC:23476	8p21.2
COL15A1	Approved symbol	COL15A1	collagen type XV alpha 1 chain	HGNC:2192	9q22.33
FAM166A	Approved symbol	FAM166A	family with sequence similarity 166 member A	HGNC:33818	9q34.3
MKX	Approved symbol	MKX	mohawk homeobox	HGNC:23729	10p12.1
LZTS2	Approved symbol	LZTS2	leucine zipper tumor suppressor 2	HGNC:29381	10q24.31
TMEM132A	Approved symbol	TMEM132A	transmembrane protein 132A	HGNC:31092	11q12.2
MRPL11	Approved symbol	MRPL11	mitochondrial ribosomal protein L11	HGNC:14042	11q13.2
C11orf30	Previous symbol	EMSY	EMSY, BRCA2 interacting transcriptional repressor	HGNC:18071	11q13.5
GRAMD1B	Approved symbol	GRAMD1B	GRAM domain containing 1B	HGNC:29214	11q24.1
KRT6A	Approved symbol	KRT6A	keratin 6A	HGNC:6443	12q13.13
CSAD	Approved symbol	CSAD	cysteine sulfinic acid decarboxylase	HGNC:18966	12q13.13
DDIT3	Approved symbol	DDIT3	DNA damage inducible transcript 3	HGNC:2726	12q13.3
HECTD4	Approved symbol	HECTD4	HECT domain E3 ubiquitin protein ligase 4	HGNC:26611	12q24.13
BRCA2	Approved symbol	BRCA2	BRCA2, DNA repair associated	HGNC:1101	13q13.1
ABHD13	Approved symbol	ABHD13	abhydrolase domain containing 13	HGNC:20293	13q33.3
CPSF2	Approved symbol	CPSF2	cleavage and polyadenylation specific factor 2	HGNC:2325	14q32.12
AHNAK2	Approved symbol	AHNAK2	AHNAK nucleoprotein 2	HGNC:20125	14q32.33
NEDD4	Approved symbol	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	HGNC:7727	15q21.3
CA12	Approved symbol	CA12	carbonic anhydrase 12	HGNC:1371	15q22.2
PSMA4	Approved symbol	PSMA4	proteasome subunit alpha 4	HGNC:9533	15q25.1
TICRR	Approved symbol	TICRR	TOPBP1 interacting checkpoint and replication regulator	HGNC:28704	15q26.1
CCDC102A	Approved symbol	CCDC102A	coiled-coil domain containing 102A	HGNC:28097	16q21
ALOXE3	Approved symbol	ALOXE3	arachidonate lipoxygenase 3	HGNC:13743	17p13.1
NEK8	Approved symbol	NEK8	NIMA related kinase 8	HGNC:13387	17q11.1
NEK8	Synonyms	NEK9	NIMA related kinase 9	HGNC:18591	14q24.3
EMILIN2	Approved symbol	EMILIN2	elastin microfibril interfacer 2	HGNC:19881	18p11.32-p11.31
MIB1	Approved symbol	MIB1	mindbomb E3 ubiquitin protein ligase 1	HGNC:21086	18q11.2
DSEL	Approved symbol	DSEL	dermatan sulfate epimerase like	HGNC:18144	18q22.1
PIP5K1C	Approved symbol	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	HGNC:8996	19p13.3
PLEKHF1	Approved symbol	PLEKHF1	pleckstrin homology and FYVE domain containing 1	HGNC:20764	19q12
NOP56	Approved symbol	NOP56	NOP56 ribonucleoprotein	HGNC:15911	20p13
FAM83D	Approved symbol	FAM83D	family with sequence similarity 83 member D	HGNC:16122	20q11.23
LDOC1L	Previous symbol	RTL6	retrotransposon Gag like 6	HGNC:13343	22q13.31
FAM47C	Approved symbol	FAM47C	family with sequence similarity 47 member C	HGNC:25301	Xp21.1
KDM5C	Approved symbol	KDM5C	lysine demethylase 5C	HGNC:11114	Xp11.22
FGD1	Approved symbol	FGD1	FYVE, RhoGEF and PH domain containing 1	HGNC:3663	Xp11.22
FAAH2	Approved symbol	FAAH2	fatty acid amide hydrolase 2	HGNC:26440	Xp11.21
ZDHHC15	Approved symbol	ZDHHC15	zinc finger DHHC-type containing 15	HGNC:20342	Xq13.3
SYTL4	Approved symbol	SYTL4	synaptotagmin like 4	HGNC:15588	Xq22.1
ACTRT1	Approved symbol	ACTRT1	actin related protein T1	HGNC:24027	Xq25
TTN	Approved symbol	TTN	titin	HGNC:12403	2q31.2
TP53	Approved symbol	TP53	tumor protein p53	HGNC:11998	17p13.1
NF1	Approved symbol	NF1	neurofibromin 1	HGNC:7765	17q11.2
AP4B1	Approved symbol	AP4B1	adaptor related protein complex 4 subunit beta 1	HGNC:572	1p13.2
TCHH	Approved symbol	TCHH	trichohyalin	HGNC:11791	1q21.3
IL6R	Approved symbol	IL6R	interleukin 6 receptor	HGNC:6019	1q21.3
EPHB2	Approved symbol	EPHB2	EPH receptor B2	HGNC:3393	1p36.12
ERCC6	Approved symbol	ERCC6	ERCC excision repair 6, chromatin remodeling factor	HGNC:3438	10q11.23
TTC18	Previous symbol	CFAP70	cilia and flagella associated protein 70	HGNC:30726	10q22.2
OR10G7	Approved symbol	OR10G7	olfactory receptor family 10 subfamily G member 7	HGNC:14842	11q24.2
FRY	Approved symbol	FRY	FRY microtubule binding protein	HGNC:20367	13q13.1
PAPLN	Approved symbol	PAPLN	papilin, proteoglycan like sulfated glycoprotein	HGNC:19262	14q24.2
AP3B2	Approved symbol	AP3B2	adaptor related protein complex 3 subunit beta 2	HGNC:567	15q25.2
SERPINF1	Approved symbol	SERPINF1	serpin family F member 1	HGNC:8824	17p13.3
PSTPIP2	Approved symbol	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	HGNC:9581	18q21.1
URI1	Approved symbol	URI1	URI1, prefoldin like chaperone	HGNC:13236	19q12
RELB	Approved symbol	RELB	RELB proto-oncogene, NF-kB subunit	HGNC:9956	19q13.32
RSPH6A	Approved symbol	RSPH6A	radial spoke head 6 homolog A	HGNC:14241	19q13.3
UGT1A9	Approved symbol	UGT1A9	UDP glucuronosyltransferase family 1 member A9	HGNC:12541	2q37.1
B3GNT2	Approved symbol	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	HGNC:15629	2p15
HPS3	Approved symbol	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	HGNC:15597	3q24
MAP3K13	Approved symbol	MAP3K13	mitogen-activated protein kinase kinase kinase 13	HGNC:6852	3q27.2
AC015849.16	Unmatched
CENPE	Approved symbol	CENPE	centromere protein E	HGNC:1856	4q24
GPRC6A	Approved symbol	GPRC6A	G protein-coupled receptor class C group 6 member A	HGNC:18510	6q22.1
PMPCB	Approved symbol	PMPCB	peptidase, mitochondrial processing beta subunit	HGNC:9119	7q22.1
AC008155.1	Unmatched
TPK1	Approved symbol	TPK1	thiamin pyrophosphokinase 1	HGNC:17358	7q35
DNAH11	Approved symbol	DNAH11	dynein axonemal heavy chain 11	HGNC:2942	7p15.3
TUBB4BP6	Approved symbol	TUBB4BP6	tubulin beta 4B class IVb pseudogene 6	HGNC:42336	9q33.1
KCNT1	Approved symbol	KCNT1	potassium sodium-activated channel subfamily T member 1	HGNC:18865	9q34.3
RANBP6	Approved symbol	RANBP6	RAN binding protein 6	HGNC:9851	9p24.1
PORCN	Approved symbol	PORCN	porcupine O-acyltransferase	HGNC:17652	Xp11.23
PRAMEF12	Approved symbol	PRAMEF12	PRAME family member 12	HGNC:22125	1p36.21
CELA2A	Approved symbol	CELA2A	chymotrypsin like elastase family member 2A	HGNC:24609	1p36.21
ASTN1	Approved symbol	ASTN1	astrotactin 1	HGNC:773	1q25.2
LAMC1	Approved symbol	LAMC1	laminin subunit gamma 1	HGNC:6492	1q25.3
PLD5	Approved symbol	PLD5	phospholipase D family member 5	HGNC:26879	1q43
IQCC	Approved symbol	IQCC	IQ motif containing C	HGNC:25545	1p35.2
SFPQ	Approved symbol	SFPQ	splicing factor proline and glutamine rich	HGNC:10774	1p34.3
CUBN	Approved symbol	CUBN	cubilin	HGNC:2548	10p13
DLG5	Approved symbol	DLG5	discs large MAGUK scaffold protein 5	HGNC:2904	10q22.3
FLI1	Approved symbol	FLI1	Fli-1 proto-oncogene, ETS transcription factor	HGNC:3749	11q24.3
FLI1	Synonyms	FLII	FLII, actin remodeling protein	HGNC:3750	17p11.2
SLC1A2	Approved symbol	SLC1A2	solute carrier family 1 member 2	HGNC:10940	11p13
ADAMTS20	Approved symbol	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	HGNC:17178	12q12
EEF1A1P17	Approved symbol	EEF1A1P17	eukaryotic translation elongation factor 1 alpha 1 pseudogene 17	HGNC:37890	12q12
NOP2	Approved symbol	NOP2	NOP2 nucleolar protein	HGNC:7867	12p13.31
LNX2	Approved symbol	LNX2	ligand of numb-protein X 2	HGNC:20421	13q12.2
EXOC5	Approved symbol	EXOC5	exocyst complex component 5	HGNC:10696	14q22.3
AC131280.1	Unmatched
ELL3	Approved symbol	ELL3	elongation factor for RNA polymerase II 3	HGNC:23113	15q15.3
GABPB1	Approved symbol	GABPB1	GA binding protein transcription factor subunit beta 1	HGNC:4074	15q21.2
GABPB1	Previous symbol	GABPAP	GABPA pseudogene	HGNC:4072	7q11.21
TNRC6A	Approved symbol	TNRC6A	trinucleotide repeat containing 6A	HGNC:11969	16p12.1
SLC12A3	Approved symbol	SLC12A3	solute carrier family 12 member 3	HGNC:10912	16q13
ZFHX3	Approved symbol	ZFHX3	zinc finger homeobox 3	HGNC:777	16q22.2-q22.3
MYO19	Approved symbol	MYO19	myosin XIX	HGNC:26234	17q12
SMG8	Approved symbol	SMG8	SMG8, nonsense mediated mRNA decay factor	HGNC:25551	17q23.2
RNF213	Approved symbol	RNF213	ring finger protein 213	HGNC:14539	17q25.3
ALOX15B	Approved symbol	ALOX15B	arachidonate 15-lipoxygenase, type B	HGNC:434	17p13.1
DSC2	Approved symbol	DSC2	desmocollin 2	HGNC:3036	18q12.1
DSC2	Synonyms	DSC3	desmocollin 3	HGNC:3037	18q12.1
FCGBP	Approved symbol	FCGBP	Fc fragment of IgG binding protein	HGNC:13572	19q13.2
MAMSTR	Approved symbol	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator	HGNC:26689	19q13.33
ETAA1	Approved symbol	ETAA1	ETAA1, ATR kinase activator	HGNC:24648	2p14
CPXM1	Approved symbol	CPXM1	carboxypeptidase X, M14 family member 1	HGNC:15771	20p13
MYT1	Approved symbol	MYT1	myelin transcription factor 1	HGNC:7622	20q13.33
MYT1	Synonyms	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	HGNC:29650	16p13.3
KRTAP13-3	Approved symbol	KRTAP13-3	keratin associated protein 13-3	HGNC:18925	21q22.11
ATP5O	Previous symbol	ATP5PO	ATP synthase peripheral stalk subunit OSCP	HGNC:850	21q22.11
ERG	Approved symbol	ERG	ERG, ETS transcription factor	HGNC:3446	21q22.2
PAK2	Approved symbol	PAK2	p21 (RAC1) activated kinase 2	HGNC:8591	3q29
PXK	Approved symbol	PXK	PX domain containing serine/threonine kinase like	HGNC:23326	3p14.3
ALPK1	Approved symbol	ALPK1	alpha kinase 1	HGNC:20917	4q25
MTNR1A	Approved symbol	MTNR1A	melatonin receptor 1A	HGNC:7463	4q35.2
CABS1	Approved symbol	CABS1	calcium binding protein, spermatid associated 1	HGNC:30710	4q13.3
SHROOM3	Approved symbol	SHROOM3	shroom family member 3	HGNC:30422	4q21.1
HERC5	Approved symbol	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	HGNC:24368	4q22.1
PCDHB16	Approved symbol	PCDHB16	protocadherin beta 16	HGNC:14546	5q31.3
ATP10B	Approved symbol	ATP10B	ATPase phospholipid transporting 10B (putative)	HGNC:13543	5q34
WDR70	Approved symbol	WDR70	WD repeat domain 70	HGNC:25495	5p13.2
HIST1H3B	Approved symbol	HIST1H3B	histone cluster 1 H3 family member b	HGNC:4776	6p22.2
SYNGAP1	Approved symbol	SYNGAP1	synaptic Ras GTPase activating protein 1	HGNC:11497	6p21.32
UHRF1BP1	Approved symbol	UHRF1BP1	UHRF1 binding protein 1	HGNC:21216	6p21.31
MLIP	Approved symbol	MLIP	muscular LMNA interacting protein	HGNC:21355	6p12.1
LAMB1	Approved symbol	LAMB1	laminin subunit beta 1	HGNC:6486	7q31.1
DENND2A	Approved symbol	DENND2A	DENN domain containing 2A	HGNC:22212	7q34
ELN	Approved symbol	ELN	elastin	HGNC:3327	7q11.23
ELN	Synonyms	SMIM6	small integral membrane protein 6	HGNC:40032	17q25.1
MAGI2	Approved symbol	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	HGNC:18957	7q21.11
DPYS	Approved symbol	DPYS	dihydropyrimidinase	HGNC:3013	8q22.3
OC90	Approved symbol	OC90	otoconin 90	HGNC:8100	8q24.22
KIFC2	Approved symbol	KIFC2	kinesin family member C2	HGNC:29530	8q24.3
CSMD1	Approved symbol	CSMD1	CUB and Sushi multiple domains 1	HGNC:14026	8p23.2
ZFHX4	Approved symbol	ZFHX4	zinc finger homeobox 4	HGNC:30939	8q21.13
PSKH2	Approved symbol	PSKH2	protein serine kinase H2	HGNC:18997	8q21.3
CDH17	Approved symbol	CDH17	cadherin 17	HGNC:1756	8q22.1
SPATA31D5P	Approved symbol	SPATA31D5P	SPATA31 subfamily D member 5, pseudogene	HGNC:38602	9q21.32
ADAMTSL1	Approved symbol	ADAMTSL1	ADAMTS like 1	HGNC:14632	9p22.2-p22.1
GPR112	Previous symbol	ADGRG4	adhesion G protein-coupled receptor G4	HGNC:18992	Xq26.3
CFP	Approved symbol	CFP	complement factor properdin	HGNC:8864	Xp11.23
GRIPAP1	Approved symbol	GRIPAP1	GRIP1 associated protein 1	HGNC:18706	Xp11.23
L1CAM	Approved symbol	L1CAM	L1 cell adhesion molecule	HGNC:6470	Xq28
MAGEC3	Approved symbol	MAGEC3	MAGE family member C3	HGNC:23798	Xq27.2
CDK11A	Approved symbol	CDK11A	cyclin dependent kinase 11A	HGNC:1730	1p36.33
E2F2	Approved symbol	E2F2	E2F transcription factor 2	HGNC:3114	1p36.12
GNPAT	Approved symbol	GNPAT	glyceronephosphate O-acyltransferase	HGNC:4416	1q42.2
LEPRE1	Previous symbol	P3H1	prolyl 3-hydroxylase 1	HGNC:19316	1p34.2
SMARCAL1	Approved symbol	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	HGNC:11102	2q35
BOC	Approved symbol	BOC	BOC cell adhesion associated, oncogene regulated	HGNC:17173	3q13.2
CELSR3	Approved symbol	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	HGNC:3230	3p21.31
FBXW7	Approved symbol	FBXW7	F-box and WD repeat domain containing 7	HGNC:16712	4q31.3
GABRB1	Approved symbol	GABRB1	gamma-aminobutyric acid type A receptor beta1 subunit	HGNC:4081	4p12
NFXL1	Approved symbol	NFXL1	nuclear transcription factor, X-box binding like 1	HGNC:18726	4p12
SEC24B	Approved symbol	SEC24B	SEC24 homolog B, COPII coat complex component	HGNC:10704	4q25
USO1	Approved symbol	USO1	USO1 vesicle transport factor	HGNC:30904	4q21.1
LPCAT1	Approved symbol	LPCAT1	lysophosphatidylcholine acyltransferase 1	HGNC:25718	5p15.33
PCSK1	Approved symbol	PCSK1	proprotein convertase subtilisin/kexin type 1	HGNC:8743	5q15
KATNA1	Approved symbol	KATNA1	katanin catalytic subunit A1	HGNC:6216	6q25.1
TSPYL1	Approved symbol	TSPYL1	TSPY like 1	HGNC:12382	6q22.1
HTR5A	Approved symbol	HTR5A	5-hydroxytryptamine receptor 5A	HGNC:5300	7q36.2
MUC3A	Approved symbol	MUC3A	mucin 3A, cell surface associated	HGNC:7513	7q22.1
PTPN12	Approved symbol	PTPN12	protein tyrosine phosphatase, non-receptor type 12	HGNC:9645	7q11.23
DLC1	Approved symbol	DLC1	DLC1 Rho GTPase activating protein	HGNC:2897	8p22
DLC1	Synonyms	DLEC1	DLEC1, cilia and flagella associated protein	HGNC:2899	3p22.2
DLC1	Synonyms	DYNLL1	dynein light chain LC8-type 1	HGNC:15476	12q24.31
ADAMTS13	Approved symbol	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	HGNC:1366	9q34.2
HINT2	Approved symbol	HINT2	histidine triad nucleotide binding protein 2	HGNC:18344	9p13.3
PIGO	Approved symbol	PIGO	phosphatidylinositol glycan anchor biosynthesis class O	HGNC:23215	9p13.3
TRAF1	Approved symbol	TRAF1	TNF receptor associated factor 1	HGNC:12031	9q33.2
ARHGAP20	Approved symbol	ARHGAP20	Rho GTPase activating protein 20	HGNC:18357	11q22.3-q23.1
EHD1	Approved symbol	EHD1	EH domain containing 1	HGNC:3242	11q13.1
INSC	Approved symbol	INSC	INSC, spindle orientation adaptor protein	HGNC:33116	11p15.2
KCNA4	Approved symbol	KCNA4	potassium voltage-gated channel subfamily A member 4	HGNC:6222	11p14.1
MUS81	Approved symbol	MUS81	MUS81 structure-specific endonuclease subunit	HGNC:29814	11q13
NR1H3	Approved symbol	NR1H3	nuclear receptor subfamily 1 group H member 3	HGNC:7966	11p11.2
TENM4	Approved symbol	TENM4	teneurin transmembrane protein 4	HGNC:29945	11q14.1
PDZD3	Approved symbol	PDZD3	PDZ domain containing 3	HGNC:19891	11q23.3
SNX19	Approved symbol	SNX19	sorting nexin 19	HGNC:21532	11q24.3-q25
VSIG2	Approved symbol	VSIG2	V-set and immunoglobulin domain containing 2	HGNC:17149	11q24.2
PPHLN1	Approved symbol	PPHLN1	periphilin 1	HGNC:19369	12q12
RNFT2	Approved symbol	RNFT2	ring finger protein, transmembrane 2	HGNC:25905	12q24.22
TNFRSF1A	Approved symbol	TNFRSF1A	TNF receptor superfamily member 1A	HGNC:11916	12p13.31
SLC12A6	Approved symbol	SLC12A6	solute carrier family 12 member 6	HGNC:10914	15q14
ABCA3	Approved symbol	ABCA3	ATP binding cassette subfamily A member 3	HGNC:33	16p13.3
CACNG3	Approved symbol	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	HGNC:1407	16p12.1
CDH1	Approved symbol	CDH1	cadherin 1	HGNC:1748	16q22.1
CDH1	Synonyms	FZR1	fizzy and cell division cycle 20 related 1	HGNC:24824	19p13.3
C17orf53	Approved symbol	C17orf53	chromosome 17 open reading frame 53	HGNC:28460	17q21.31
CDC27	Approved symbol	CDC27	cell division cycle 27	HGNC:1728	17q21.32
MYH1	Approved symbol	MYH1	myosin heavy chain 1	HGNC:7567	17p13.1
NAGLU	Approved symbol	NAGLU	N-acetyl-alpha-glucosaminidase	HGNC:7632	17q21.2
NUP85	Approved symbol	NUP85	nucleoporin 85	HGNC:8734	17q25
TBX4	Approved symbol	TBX4	T-box 4	HGNC:11603	17q23.2
TRIM65	Approved symbol	TRIM65	tripartite motif containing 65	HGNC:27316	17q25.1
MEP1B	Approved symbol	MEP1B	meprin A subunit beta	HGNC:7020	18q12.2-q12.3
ATP8B3	Approved symbol	ATP8B3	ATPase phospholipid transporting 8B3	HGNC:13535	19p13.3
CEACAM18	Approved symbol	CEACAM18	carcinoembryonic antigen related cell adhesion molecule 18	HGNC:31949	19q13.41
DOCK6	Approved symbol	DOCK6	dedicator of cytokinesis 6	HGNC:19189	19p13.2
ARHGAP35	Approved symbol	ARHGAP35	Rho GTPase activating protein 35	HGNC:4591	19q13.32
PEG3	Approved symbol	PEG3	paternally expressed 3	HGNC:8826	19q13.4
ZNF582	Approved symbol	ZNF582	zinc finger protein 582	HGNC:26421	19q13.43
CABIN1	Approved symbol	CABIN1	calcineurin binding protein 1	HGNC:24187	22q11.23
EFHC2	Approved symbol	EFHC2	EF-hand domain containing 2	HGNC:26233	Xp11.3
ERCC6L	Approved symbol	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	HGNC:20794	Xq13.1
RAB41	Approved symbol	RAB41	RAB41, member RAS oncogene family	HGNC:18293	Xq13.1
RAB41	Synonyms	RAB43	RAB43, member RAS oncogene family	HGNC:19983	3q21.3
ZNF185	Approved symbol	ZNF185	zinc finger protein 185 with LIM domain	HGNC:12976	Xq28
AMPD2	Approved symbol	AMPD2	adenosine monophosphate deaminase 2	HGNC:469	1p13.3
ATP1A2	Approved symbol	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	HGNC:800	1q23.2
THEMIS2	Approved symbol	THEMIS2	thymocyte selection associated family member 2	HGNC:16839	1p35.3
CSF1	Approved symbol	CSF1	colony stimulating factor 1	HGNC:2432	1p13.3
IRF6	Approved symbol	IRF6	interferon regulatory factor 6	HGNC:6121	1q32.2
MTOR	Approved symbol	MTOR	mechanistic target of rapamycin kinase	HGNC:3942	1p36.22
SLC44A5	Approved symbol	SLC44A5	solute carrier family 44 member 5	HGNC:28524	1p31.1
TGFBR3	Approved symbol	TGFBR3	transforming growth factor beta receptor 3	HGNC:11774	1p22.1
TNNI3K	Approved symbol	TNNI3K	TNNI3 interacting kinase	HGNC:19661	1p31.1
ZCCHC17	Approved symbol	ZCCHC17	zinc finger CCHC-type containing 17	HGNC:30246	1p35.2
ATP6V1C2	Approved symbol	ATP6V1C2	ATPase H+ transporting V1 subunit C2	HGNC:18264	2p25.1
BAZ2B	Approved symbol	BAZ2B	bromodomain adjacent to zinc finger domain 2B	HGNC:963	2q24.2
CCDC141	Approved symbol	CCDC141	coiled-coil domain containing 141	HGNC:26821	2q31.2
CLIP4	Approved symbol	CLIP4	CAP-Gly domain containing linker protein family member 4	HGNC:26108	2p23.2
CLIP4	Synonyms	UBASH3A	ubiquitin associated and SH3 domain containing A	HGNC:12462	21q22.3
IMMT	Approved symbol	IMMT	inner membrane mitochondrial protein	HGNC:6047	2p11.2
RNF25	Approved symbol	RNF25	ring finger protein 25	HGNC:14662	2q35
SLC35F5	Approved symbol	SLC35F5	solute carrier family 35 member F5	HGNC:23617	2q14.1
USP34	Approved symbol	USP34	ubiquitin specific peptidase 34	HGNC:20066	2p15
ACTR8	Approved symbol	ACTR8	ARP8 actin related protein 8 homolog	HGNC:14672	3p21.1
C3orf30	Approved symbol	C3orf30	chromosome 3 open reading frame 30	HGNC:26553	3q13.32
ECT2	Approved symbol	ECT2	epithelial cell transforming 2	HGNC:3155	3q26.31
FGF12	Approved symbol	FGF12	fibroblast growth factor 12	HGNC:3668	3q28-q29
FRMD4B	Approved symbol	FRMD4B	FERM domain containing 4B	HGNC:24886	3p14.1
GHRL	Approved symbol	GHRL	ghrelin and obestatin prepropeptide	HGNC:18129	3p25.3
SHQ1	Approved symbol	SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor	HGNC:25543	3p13
ALB	Approved symbol	ALB	albumin	HGNC:399	4q13.3
ALB	Synonyms	FBF1	Fas binding factor 1	HGNC:24674	17q25.1
CNGA1	Approved symbol	CNGA1	cyclic nucleotide gated channel alpha 1	HGNC:2148	4p12
FAT1	Approved symbol	FAT1	FAT atypical cadherin 1	HGNC:3595	4q35.2
FSTL5	Approved symbol	FSTL5	follistatin like 5	HGNC:21386	4q32.2
TMEM33	Approved symbol	TMEM33	transmembrane protein 33	HGNC:25541	4p13
WHSC1	Previous symbol	NSD2	nuclear receptor binding SET domain protein 2	HGNC:12766	4p16.3
ZNF518B	Approved symbol	ZNF518B	zinc finger protein 518B	HGNC:29365	4p16.1
APC	Approved symbol	APC	APC, WNT signaling pathway regulator	HGNC:583	5q22.2
CDH18	Approved symbol	CDH18	cadherin 18	HGNC:1757	5p14.3
LARP1	Approved symbol	LARP1	La ribonucleoprotein domain family member 1	HGNC:29531	5q33.2
SLC30A5	Approved symbol	SLC30A5	solute carrier family 30 member 5	HGNC:19089	5q13.1-q13.2
SLC36A3	Approved symbol	SLC36A3	solute carrier family 36 member 3	HGNC:19659	5q33.1
UIMC1	Approved symbol	UIMC1	ubiquitin interaction motif containing 1	HGNC:30298	5q35.2
ARMC12	Approved symbol	ARMC12	armadillo repeat containing 12	HGNC:21099	6p21.31
IBTK	Approved symbol	IBTK	inhibitor of Bruton tyrosine kinase	HGNC:17853	6q14.1
MAP3K7	Approved symbol	MAP3K7	mitogen-activated protein kinase kinase kinase 7	HGNC:6859	6q15
